clicked_news	category	subcategory	title
N1	No category	No subcategory	Se lesernes nyttårsbilder
N2	100sport	vintersport	Her koker det over for Tønseth. Så stakk han fra stadion i sinne.
N3	nyheter	innenriks	Én av tre nordmenn vil trene mer i 2017
N4	nyheter	okonomi	Rema reklamerer med bokstaven æ
N5	nyheter	trondheim	- Det blir fyrverkeri
N8	100sport	sjakk	På dette bildet skiller Magnus Carlsen seg ut: - Litt tilfeldig
N9	No category	No subcategory	Hvem syns du er Årets trønder?
N13	nyheter	sortrondelag	Slik blir ferieåret 2017
N14	100sport	vintersport	Northugs trener tror ikke Sundby vinner Tour de Ski
N15	nyheter	moreromsdal	Mann (78) funnet død i en kum ved riksvei i Gjemnes
N16	No category	No subcategory	Advarer mot kraftige vindkast i indre strøk av Trøndelag
N17	nyheter	sortrondelag	Hurtigruta snudde på Folda
N18	pluss	okonomi	Nyttårskvelden er skapt for sprudlende drikke
N19	No category	No subcategory	Trondheim, fra havna mot Rockheim
N20	100sport	vintersport	Stina Nilsson parkerte de norske jentene på sprinten
N24	No category	No subcategory	Trondheim, utløpet av Nidelva
N27	100sport	fotball	Slik blir fotball-VM i Qatar
N30	100sport	mesterskap	Quiz: Hvem er mannen som hilser på Kong Harald på dette bildet?
N31	100sport	sjakk	Da konfettien dalte ned, rant begeret over for Magnus Carlsen
N33	nyheter	innenriks	15 000 mer i engangsbeløp til nybakte foreldre
N35	100sport	vintersport	Koteng: - Vanskelig å få investorer
N36	No category	No subcategory	Uværet traff Trøndelag
N38	No category	No subcategory	QUIZ: Hvilke kommuner skal egentlig slå seg sammen?
N39	nyheter	sortrondelag	Nå blir det ny vei mellom Trondheim og Klæbu
N41	pluss	magasin	Trond og Aleksander har hatt julepynten framme i tre måneder. Nå er de klare for nyttårsfest.
N45	pluss	kultur	Slik skal de innrede nye Britannia
N47	nyheter	trondheim	- Dette er så lavmål. Min bror var på gråten
N48	pluss	magasin	Historiske trøndelagsbilder: Denne ferske bileieren var ekstremt uheldig
N49	nyheter	trondheim	Fikk du med deg dette værfenomenet i dag?
N51	No category	No subcategory	Mener informasjonen er tydelig
N53	No category	No subcategory	Ary fra Trondheim med musikken til NRKs nye krigsdrama
N54	nyheter	trondheim	Beboere føler seg maktesløse
N59	pluss	kultur	Det beste pinnekjøttet er ikke av sau
N61	No category	No subcategory	E6 Oppdal
N62	No category	No subcategory	Oppdal skisenter - Stølen
N63	No category	No subcategory	E6 Ulsberg
N64	No category	No subcategory	Varsler full vestlig storm i Trøndelag natt til nyttårsaften
N65	No category	No subcategory	Fv 30, Mosenget, Os
N66	No category	No subcategory	E6 Berkåk
N67	pluss	okonomi	Millionærdrømmen må starte med en genial idé
N68	No category	No subcategory	E6 Hjerkinn
N69	No category	No subcategory	E6, Melhus
N70	No category	No subcategory	E39 Hemnekjølen
N72	No category	No subcategory	Historiske trøndelagsbilder: Her må de løfte vekk bilen når trikken kommer
N73	No category	No subcategory	Oppdal flyplass, Fagerhaug
N75	No category	No subcategory	Høye ambisjoner går ikke hvis du skal spare på sykehus
N76	nyheter	sortrondelag	Gunn Røstad har fått ny jobb
N79	nyheter	trondheim	Tomine fra Trondheim er årets nyttårsbarn
N85	nyheter	trondheim	Hva gjør restaurantene Frati og Bari i en romantisk amerikansk julefilm?
N87	No category	No subcategory	Trondheim, fra havna mot Pirbadet
N88	100sport	sjakk	Carlsen med tirade på direkten: - Dummeste jeg har sett!
N92	nyheter	trondheim	- Hold hunden i bånd, uansett om det er båndtvang eller ikke
N97	pluss	magasin	Ja takk til trøbbel
N98	No category	No subcategory	Her er de 20 beste filmene i 2016
N99	nyheter	trondheim	- Vi har ikke penger til nye klær og julegaver til barna
N100	No category	No subcategory	Fv715, Momyr
N103	pluss	nyheter	Annonser fra martnan 1965: «Virkelig noe nytt for Trondheims-damene»
N104	No category	No subcategory	E6 Snåsa
N107	No category	No subcategory	Innsmoen, Verdal
N108	nyheter	trondheim	Her er den nye domprosten i Nidaros
N109	No category	No subcategory	Fv755 Meltingen
N110	No category	No subcategory	Her var det sommertemperaturer i natt
N111	nyheter	okonomi	Hurtigruten bygger to nye hybridskip
N112	pluss	magasin	«Alle» møttes på Bristol conditori
